x	y	z
5.593	-0.63668	0.686771
5.594	-0.635909	0.68746
5.595	-0.635137	0.688149
5.596	-0.634364	0.688838
5.597	-0.63359	0.689526
5.598	-0.632817	0.690214
5.599	-0.632042	0.690901
5.6	-0.631267	0.691587
5.601	-0.630491	0.692274
5.602	-0.629714	0.692959
5.603	-0.628937	0.693644
5.604	-0.628159	0.694329
5.605	-0.627381	0.695013
5.606	-0.626602	0.695697
5.607	-0.625822	0.69638
5.608	-0.625042	0.697063
5.609	-0.624261	0.697745
5.61	-0.62348	0.698427
5.611	-0.622697	0.699108
5.612	-0.621915	0.699789
5.613	-0.621131	0.700469
5.614	-0.620347	0.701149
5.615	-0.619563	0.701828
5.616	-0.618777	0.702507
5.617	-0.617991	0.703185
5.618	-0.617205	0.703862
5.619	-0.616418	0.70454
5.62	-0.61563	0.705216
5.621	-0.614842	0.705892
5.622	-0.614053	0.706568
5.623	-0.613263	0.707243
5.624	-0.612473	0.707918
5.625	-0.611682	0.708592
5.626	-0.610891	0.709266
5.627	-0.610099	0.709939
5.628	-0.609306	0.710611
5.629	-0.608513	0.711283
5.63	-0.607719	0.711955
5.631	-0.606925	0.712626
5.632	-0.60613	0.713296
5.633	-0.605334	0.713966
5.634	-0.604538	0.714636
5.635	-0.603741	0.715305
5.636	-0.602943	0.715973
5.637	-0.602145	0.716641
5.638	-0.601347	0.717308
5.639	-0.600547	0.717975
5.64	-0.599747	0.718641
5.641	-0.598947	0.719307
5.642	-0.598146	0.719973
5.643	-0.597344	0.720637
5.644	-0.596542	0.721301
5.645	-0.595739	0.721965
5.646	-0.594935	0.722628
5.647	-0.594131	0.723291
5.648	-0.593327	0.723953
5.649	-0.592521	0.724614
5.65	-0.591716	0.725275
5.651	-0.590909	0.725936
5.652	-0.590102	0.726596
5.653	-0.589294	0.727255
5.654	-0.588486	0.727914
5.655	-0.587677	0.728572
5.656	-0.586868	0.72923
5.657	-0.586058	0.729887
5.658	-0.585248	0.730544
5.659	-0.584436	0.7312
5.66	-0.583625	0.731856
5.661	-0.582812	0.732511
5.662	-0.581999	0.733165
5.663	-0.581186	0.733819
5.664	-0.580372	0.734472
5.665	-0.579557	0.735125
5.666	-0.578742	0.735778
5.667	-0.577926	0.736429
5.668	-0.57711	0.737081
5.669	-0.576293	0.737731
5.67	-0.575475	0.738381
5.671	-0.574657	0.739031
5.672	-0.573839	0.73968
5.673	-0.573019	0.740328
5.674	-0.5722	0.740976
5.675	-0.571379	0.741623
5.676	-0.570558	0.74227
5.677	-0.569737	0.742916
5.678	-0.568914	0.743562
5.679	-0.568092	0.744207
5.68	-0.567269	0.744851
5.681	-0.566445	0.745495
5.682	-0.56562	0.746139
5.683	-0.564795	0.746781
5.684	-0.56397	0.747424
5.685	-0.563144	0.748065
5.686	-0.562317	0.748706
5.687	-0.56149	0.749347
5.688	-0.560662	0.749987
5.689	-0.559834	0.750626
5.69	-0.559005	0.751265
5.691	-0.558176	0.751903
5.692	-0.557346	0.752541
5.693	-0.556515	0.753178
5.694	-0.555684	0.753815
5.695	-0.554852	0.754451
5.696	-0.55402	0.755086
5.697	-0.553187	0.755721
5.698	-0.552354	0.756355
5.699	-0.55152	0.756988
5.7	-0.550686	0.757621
5.701	-0.549851	0.758254
5.702	-0.549015	0.758886
5.703	-0.548179	0.759517
5.704	-0.547342	0.760148
5.705	-0.546505	0.760778
5.706	-0.545667	0.761407
5.707	-0.544829	0.762036
5.708	-0.54399	0.762665
5.709	-0.543151	0.763292
5.71	-0.542311	0.76392
5.711	-0.541471	0.764546
5.712	-0.54063	0.765172
5.713	-0.539788	0.765798
5.714	-0.538946	0.766422
5.715	-0.538103	0.767047
5.716	-0.53726	0.76767
5.717	-0.536417	0.768293
5.718	-0.535572	0.768916
5.719	-0.534728	0.769537
5.72	-0.533882	0.770159
5.721	-0.533036	0.770779
5.722	-0.53219	0.771399
5.723	-0.531343	0.772019
5.724	-0.530496	0.772638
5.725	-0.529648	0.773256
5.726	-0.528799	0.773873
5.727	-0.52795	0.77449
5.728	-0.527101	0.775107
5.729	-0.526251	0.775723
5.73	-0.5254	0.776338
5.731	-0.524549	0.776952
5.732	-0.523697	0.777566
5.733	-0.522845	0.77818
5.734	-0.521993	0.778792
5.735	-0.521139	0.779404
5.736	-0.520286	0.780016
5.737	-0.519431	0.780627
5.738	-0.518577	0.781237
5.739	-0.517721	0.781847
5.74	-0.516865	0.782456
5.741	-0.516009	0.783064
5.742	-0.515152	0.783672
5.743	-0.514295	0.784279
5.744	-0.513437	0.784886
5.745	-0.512579	0.785492
5.746	-0.51172	0.786097
5.747	-0.51086	0.786702
5.748	-0.51	0.787306
5.749	-0.50914	0.787909
5.75	-0.508279	0.788512
5.751	-0.507418	0.789114
5.752	-0.506556	0.789716
5.753	-0.505693	0.790317
5.754	-0.50483	0.790917
5.755	-0.503967	0.791517
5.756	-0.503103	0.792116
5.757	-0.502238	0.792714
5.758	-0.501373	0.793312
5.759	-0.500508	0.793909
5.76	-0.499642	0.794506
5.761	-0.498775	0.795102
5.762	-0.497908	0.795697
5.763	-0.497041	0.796292
5.764	-0.496173	0.796886
5.765	-0.495304	0.797479
5.766	-0.494436	0.798072
5.767	-0.493566	0.798664
5.768	-0.492696	0.799255
5.769	-0.491826	0.799846
5.77	-0.490955	0.800436
5.771	-0.490083	0.801025
5.772	-0.489211	0.801614
5.773	-0.488339	0.802203
5.774	-0.487466	0.80279
5.775	-0.486593	0.803377
5.776	-0.485719	0.803963
5.777	-0.484844	0.804549
5.778	-0.48397	0.805134
5.779	-0.483094	0.805718
5.78	-0.482218	0.806302
5.781	-0.481342	0.806885
5.782	-0.480465	0.807467
5.783	-0.479588	0.808049
5.784	-0.47871	0.80863
5.785	-0.477832	0.80921
5.786	-0.476954	0.80979
5.787	-0.476074	0.810369
